u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Pagerank,district
25614374,8074145906,0,437.30899999999997,0,4,18.852234946435168,0.05303431113201262,0.00032211329881317034,0.0001887413324081583,ITAIM BIBI
25614374,4802996303,0,158.297,0,4,18.782970077576653,0.05322988268381666,0.000719806254331107,0.00018546563067897768,ITAIM BIBI
25614374,25717980,0,147.92700000000002,0,4,18.3562984854082,0.05446715166883006,0.001056642862891959,0.0001831364097461589,ITAIM BIBI
25614380,395803306,0,165.798,0,4,20.039342445511636,0.04989261980035578,0.0007466353965379937,0.0001811805796603111,ITAIM BIBI
25614380,25614493,0,172.11700000000002,8,4,19.924085703731066,0.050181238353929306,0.033397210685327534,0.00018221341478599315,ITAIM BIBI
25614380,2584006447,0,48.275,0,4,19.553934244551165,0.051131157606385494,0.03413337617271162,0.00018297493956169204,ITAIM BIBI
25614493,34850270,0,109.90400000000001,0,4,20.313631326191356,0.049218934696030114,0.03937323851958102,0.00017902767054943754,ITAIM BIBI
25614493,8062328093,0,168.045,0,4,20.49168821573698,0.04879126029817382,0.006218144483437585,0.00018181488397247611,ITAIM BIBI
25614663,25614754,0,78.95400000000001,0,5,21.099741411156263,0.04738519179928918,0.019818556474362793,0.00020056462412106966,ITAIM BIBI
25614663,2830306119,0,296.981,14,5,20.573513114148504,0.048597207882569465,0.0020794221133642503,0.00020280854584217779,ITAIM BIBI
25614663,25614665,0,212.62300000000002,0,5,20.755079423716293,0.048172077459775024,0.05168176187631242,0.00020149785075368633,ITAIM BIBI
25614754,4009424169,0,106.702,0,4,21.700591060214258,0.046073182564879515,0.047147800435679094,0.00016833815283115742,ITAIM BIBI
25614754,2584006428,0,158.032,0,4,21.21222755818249,0.04713391325548793,0.0343918520549487,0.00016827661530894897,ITAIM BIBI
25629307,25629345,0,588.984,10,4,18.918175101588474,0.05284945764135009,0.03842996514174621,0.00018244124162992937,ITAIM BIBI
25629345,7291546979,0,298.437,0,4,19.178241595862577,0.052132792711232674,0.015478451945407277,0.00017468989401151026,ITAIM BIBI
25629345,1373371440,0,392.7500000000001,0,4,19.424085703731066,0.05147296551986459,0.02323714540544396,0.0001777812355964179,ITAIM BIBI
25629346,302805832,0,42.51,0,4,19.289434798670115,0.05183227523866977,0.04764888374409187,0.00017489296117138893,ITAIM BIBI
25629346,25629357,0,248.75,0,5,19.38160325083118,0.05158578889185377,0.0343550437805795,0.00019679808697792658,ITAIM BIBI
25629346,25629371,0,262.071,0,4,19.087920206871075,0.05237947785024482,0.013325576875635148,0.0001726490754202761,ITAIM BIBI
25629357,28109489,0,93.351,0,6,19.792205393424457,0.05051560823106715,0.0335436258211517,0.00022251357288293331,ITAIM BIBI
25629357,25629358,0,33.394,0,6,19.715182859253787,0.050712960707526844,0.013499639115318852,0.00022018014657083703,ITAIM BIBI
25629357,302805828,0,85.165,0,5,19.864979682305133,0.050330547006480764,0.011338911613681292,0.00019505904909836405,ITAIM BIBI
25629358,302805833,0,91.229,2,5,20.13705208718138,0.04965052925097687,0.03331263345044363,0.00018585806967196862,ITAIM BIBI
