gid,id,length,dir,municipio,distrito,bairro,nomesigla,tipo,nometit,nomeprep,name,start_left,end_left,start_righ,end_right,parity,left_zip,right_zip,cep_e,cep_d,extensao_m,nome_caps,onibus_msp,dist_cen_m,dist_cen_d,cdlog_cem,grau,grau_in,grau_out,coef_aglom
38,211843,80.4700000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,DOS,PROTESTANTES,103,189,104,188,0,1212,1212,01212020,01212020,80,R DOS PROTESTANTES,0,1662.90000000,978.260000000,REP00518,5,5,5,0.40
39,211844,77.1600000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,MAUA,0,0,228,306,0,0,1028,,01028000,77,R MAUA,1,1721.40000000,1026.51000000,REP00538,4,4,4,0.33
40,211845,41.5700000000,0,SAO PAULO,REPUBLICA,CENTRO,,,,,SEM NOME,0,0,0,0,0,0,0,,,41,SEM NOME,0,1680.14000000,1019.98000000,REP00537,4,4,4,0.33
41,211890,72.9200000000,0,SAO PAULO,REPUBLICA,CENTRO,,AV,DQ,DE,CAXIAS,0,0,892,960,0,1214,1214,01214100,01214000,72,AV DQ DE CAXIAS,1,1795.31000000,887.260000000,REP00486,4,4,4,0.33
42,211891,13.4400000000,0,SAO PAULO,REPUBLICA,,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,13,R SEM NOME,1,1812.23000000,936.440000000,REP00506,4,4,4,0.33
43,211893,23.2600000000,0,SAO PAULO,REPUBLICA,CENTRO,,AV,DQ,DE,CAXIAS,0,0,962,982,0,1214,1214,01214100,01214000,23,AV DQ DE CAXIAS,1,1812.23000000,936.440000000,REP00507,4,4,4,0.33
44,211894,73.3900000000,0,SAO PAULO,SANTA CECILIA,CAMPOS ELISEOS,,AV,DQ,DE,CAXIAS,895,973,0,0,0,1214,1214,01214100,01214100,73,AV DQ DE CAXIAS,0,1825.45000000,986.310000000,SCE00313,3,3,3,0.33
45,211895,43.6500000000,0,SAO PAULO,REPUBLICA,CENTRO,,AV,DQ,DE,CAXIAS,0,0,984,1028,0,1214,1214,01214100,01214000,43,AV DQ DE CAXIAS,1,1817.78000000,952.740000000,REP00514,3,3,3,0.33
46,211898,17.0500000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,MAUA,1383,1395,1384,1396,0,1028,1028,01028000,01028000,17,R MAUA,0,1829.41000000,990.420000000,REP00525,2,2,2,0.00
47,211899,93.4700000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,MAUA,0,0,2,92,0,0,1028,,01028000,93,R MAUA,1,1783.29000000,973.990000000,REP00517,3,3,3,0.33
48,211902,58.4700000000,0,SAO PAULO,REPUBLICA,CENTRO,,LG,GAL,,OSORIO,77,145,78,146,0,1213,1213,01213010,01213010,58,LG GAL OSORIO,0,1728.57000000,957.310000000,REP00515,5,5,5,0.50
49,211903,88.0900000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,MAUA,0,0,94,182,0,0,1028,,01028000,88,R MAUA,1,1753.70000000,990.680000000,REP00526,4,4,4,0.50
50,211904,65.7500000000,0,SAO PAULO,REPUBLICA,CENTRO,,LG,GAL,,OSORIO,1,75,2,76,0,1213,1213,01213010,01213010,65,LG GAL OSORIO,1,1728.57000000,957.310000000,REP00516,5,5,5,0.50
51,213793,171.290000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,DR,,RICARDO BATISTA,1,167,2,168,0,1326,1326,01326040,01326040,171,R DR RICARDO BATISTA,0,969.630000000,921.940000000,REP00497,4,4,4,0.33
52,213794,90.7200000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,MJ,,DIOGO,97,177,96,176,0,1324,1324,01324001,01324000,90,R MJ DIOGO,1,969.630000000,921.940000000,REP00498,5,5,5,0.40
53,213796,116.970000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,MJ,,DIOGO,1,417,2,418,0,1324,1324,01324001,01324000,116,R MJ DIOGO,0,1033.12000000,1200.01000000,REP00584,5,5,5,0.50
54,213797,40.8700000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,JACEGUAI,495,543,494,542,0,1315,1315,01315010,01315010,40,R JACEGUAI,1,1023.14000000,1200.01000000,REP00583,5,5,5,0.40
55,213798,32.7200000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,MJ,,DIOGO,335,361,334,360,0,1324,1324,01324001,01324000,32,R MJ DIOGO,1,1021.01000000,1167.59000000,REP00575,5,5,5,0.40
56,213799,111.240000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,JACEGUAI,397,493,398,492,0,1315,1315,01315010,01315010,111,R JACEGUAI,1,980.020000000,1228.39000000,REP00592,5,5,5,0.50
57,213800,83.0400000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,JARDIM HELOISA,1,73,2,72,0,1319,1319,01319080,01319080,83,R JARDIM HELOISA,0,949.350000000,1221.94000000,REP00589,4,4,4,0.50
58,213802,40.2800000000,0,SAO PAULO,REPUBLICA,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,40,AC SEM NOME,0,980.020000000,1288.03000000,REP00598,4,4,4,0.50
59,213804,66.0700000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,ABOLICAO,373,437,372,436,0,1319,1319,01319010,01319010,66,R ABOLICAO,0,949.350000000,1221.94000000,REP00590,5,5,5,0.50
60,213805,41.0300000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,ABOLICAO,339,371,338,370,0,1319,1319,01319010,01319010,41,R ABOLICAO,0,932.810000000,1180.97000000,REP00580,4,4,4,0.33
61,213806,47.8400000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,JAPURA,389,429,390,428,0,1319,1319,01319030,01319030,47,R JAPURA,0,872.250000000,1176.39000000,REP00579,2,2,2,1.00
62,213807,27.9800000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,MJ,,DIOGO,307,333,308,332,0,1324,1324,01324001,01324000,27,R MJ DIOGO,1,1012.99000000,1140.22000000,REP00567,4,4,4,0.33
63,213808,132.250000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,MJ,,DIOGO,179,305,178,306,0,1324,1324,01324001,01324000,132,R MJ DIOGO,1,981.080000000,1010.40000000,REP00533,5,5,5,0.40
64,213809,105.620000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,SAO DOMINGOS,1,103,2,102,0,1326,1326,01326000,01326000,105,R SAO DOMINGOS,0,877.490000000,992.260000000,REP00527,5,5,5,0.40
65,213810,168.440000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,JARDIM FRANCISCO MARCOS,1,167,2,168,0,1319,1319,01319050,01319050,168,R JARDIM FRANCISCO MARCOS,0,903.370000000,1094.56000000,REP00558,4,4,4,0.67
66,213811,86.6500000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,ABOLICAO,251,337,250,336,0,1319,1319,01319010,01319010,86,R ABOLICAO,0,903.370000000,1094.56000000,REP00559,4,4,4,0.67
67,213812,58.6000000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,CMR,,JOSE XAVIER GOUVEIA,1,57,2,58,0,1319,1319,01319060,01319060,58,R CMR JOSE XAVIER GOUVEIA,0,847.830000000,1089.64000000,REP00556,5,5,5,0.40
68,213813,40.3000000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,JAPURA,289,335,288,334,0,1319,1319,01319030,01319030,40,R JAPURA,0,838.870000000,1089.64000000,REP00555,4,4,4,0.33
69,213814,53.5400000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,JAPURA,337,387,336,388,0,1319,1319,01319030,01319030,53,R JAPURA,0,843.630000000,1123.01000000,REP00564,4,4,4,0.33
70,213815,102.580000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,ABOLICAO,151,249,150,248,0,1319,1319,01319010,01319010,102,R ABOLICAO,0,877.490000000,992.260000000,REP00528,5,5,5,0.40
71,213816,252.150000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,JAPURA,41,287,40,286,0,1319,1319,01319030,01319030,252,R JAPURA,0,800.410000000,836.910000000,REP00461,4,4,4,0.33
72,214273,143.510000000,0,SAO PAULO,REPUBLICA,CENTRO,,R,CNS,,CRISPINIANO,304,449,306,450,0,1037,1037,01037001,01037000,143,R CNS CRISPINIANO,1,798.670000000,339.720000000,REP00095,5,5,5,0.40
73,214274,102.550000000,0,SAO PAULO,REPUBLICA,CENTRO,,PC,,,RAMOS DE AZEVEDO,161,261,162,262,0,1037,1037,01037010,01037010,102,PC RAMOS DE AZEVEDO,0,629.860000000,414.000000000,REP00139,3,3,3,0.33
74,214275,195.650000000,0,SAO PAULO,REPUBLICA,CENTRO,,AV,,,SAO JOAO,261,441,260,440,0,1035,1036,01035000,01036000,195,AV SAO JOAO,0,702.170000000,384.910000000,REP00115,5,5,5,0.40
75,214294,46.2300000000,0,SAO PAULO,SE,CENTRO,,VD,,,GUILHERME DE ALMEIDA,73,143,74,142,0,1502,1502,01502020,01502020,46,VD GUILHERME DE ALMEIDA,1,674.560000000,674.560000000,SEE00335,3,3,3,0.33
76,214295,72.7300000000,0,SAO PAULO,SE,CENTRO,,VD,,,GUILHERME DE ALMEIDA,1,71,2,72,0,1502,1502,01502020,01502020,72,VD GUILHERME DE ALMEIDA,1,661.450000000,661.450000000,SEE00325,3,3,3,0.33
77,214302,63.2600000000,0,SAO PAULO,SE,CENTRO,,VD,,,CIDADE DE OSAKA,1,69,2,70,0,1506,1506,01506030,01506030,63,VD CIDADE DE OSAKA,0,658.620000000,658.620000000,SEE00320,2,2,2,0.00
78,214313,137.490000000,0,SAO PAULO,SE,CENTRO,,R,,,PAULA SOUSA,1,137,2,138,0,1027,1027,01027001,01027000,137,R PAULA SOUSA,0,1389.18000000,1389.18000000,SEE00534,6,6,6,0.40
79,214314,188.460000000,0,SAO PAULO,SE,CENTRO,,R,,DA,CANTAREIRA,641,823,640,824,0,1024,1024,01024000,01024000,188,R DA CANTAREIRA,1,1389.18000000,1389.18000000,SEE00535,6,6,6,0.40
80,214315,78.5500000000,0,SAO PAULO,SE,CENTRO,,AV,,DO,ESTADO,0,0,2698,2778,0,0,1025,,01025020,78,AV DO ESTADO,0,1323.17000000,1323.17000000,SEE00526,5,5,5,0.40
81,214316,45.7200000000,0,SAO PAULO,BRAS,CENTRO,,PT,,DO,RIO TAMANDUATEI,1,43,2,44,0,0,0,,,45,PT DO RIO TAMANDUATEI,0,1401.46000000,1151.21000000,BRS00449,3,3,3,1.00
82,214317,94.9300000000,0,SAO PAULO,SE,CENTRO,,R,,,MAUA,1059,1153,1060,1154,0,1028,1028,01028000,01028000,94,R MAUA,1,1571.52000000,1571.52000000,SEE00546,5,5,5,0.40
83,214319,70.9000000000,0,SAO PAULO,BOM RETIRO,LUZ,,R,,DA,CANTAREIRA,825,895,826,894,0,1103,1103,01103201,01103200,70,R DA CANTAREIRA,1,1578.21000000,1204.49000000,BRE00419,3,3,3,1.00
84,214326,104.790000000,0,SAO PAULO,SE,CENTRO,,R,,,MAUA,1155,1261,1156,1262,0,1028,1028,01028000,01028000,104,R MAUA,0,1578.21000000,1578.21000000,SEE00547,3,3,3,1.00
85,214336,429.760000000,0,SAO PAULO,BOM RETIRO,LUZ,,AV,,DO,ESTADO,0,0,2280,2696,0,0,1107,,01107000,429,AV DO ESTADO,0,1401.46000000,1337.92000000,BRE00491,3,3,3,1.00
86,214356,211.330000000,0,SAO PAULO,SE,CENTRO,,R,,,TEIXEIRA LEITE,123,303,122,302,0,1514,1514,01514010,01514010,211,R TEIXEIRA LEITE,0,796.060000000,796.060000000,SEE00394,6,6,6,0.53
87,214358,335.690000000,0,SAO PAULO,SE,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,335,AC SEM NOME,0,803.270000000,803.270000000,SEE00396,6,6,6,0.47
88,214359,19.5300000000,0,SAO PAULO,SE,CENTRO,,R,,,GLICERIO,287,299,288,300,0,1514,1514,01514000,01514000,19,R GLICERIO,0,735.100000000,735.100000000,SEE00371,4,4,4,0.33
89,214360,25.2400000000,0,SAO PAULO,SE,CENTRO,,R,,,GLICERIO,259,285,260,286,0,1514,1514,01514000,01514000,25,R GLICERIO,0,728.040000000,728.040000000,SEE00369,4,4,4,0.33
90,214361,69.3900000000,0,SAO PAULO,SE,CENTRO,,PC,DR,,MARIO MARGARIDO,1,71,2,72,0,1514,1514,01514020,01514020,69,PC DR MARIO MARGARIDO,0,662.430000000,662.430000000,SEE00327,5,5,5,0.40
91,214362,107.520000000,0,SAO PAULO,SE,CENTRO,,R,,,VASCO PEREIRA,1,105,2,106,0,1514,1514,01514030,01514030,107,R VASCO PEREIRA,0,735.100000000,735.100000000,SEE00372,5,5,5,0.40
92,214363,90.1500000000,0,SAO PAULO,SE,CENTRO,,R,,,GLICERIO,167,257,168,258,0,1514,1514,01514000,01514000,90,R GLICERIO,0,710.700000000,710.700000000,SEE00365,4,4,4,0.33
93,214365,50.6600000000,0,SAO PAULO,SE,,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,50,R SEM NOME,1,837.530000000,837.530000000,SEE00409,6,6,6,0.40
94,214368,114.340000000,0,SAO PAULO,SE,CENTRO,,R,,,TEIXEIRA LEITE,1,121,2,120,0,1514,1514,01514010,01514010,114,R TEIXEIRA LEITE,1,812.920000000,812.920000000,SEE00398,7,7,7,0.43
95,214369,103.480000000,0,SAO PAULO,SE,CENTRO,,R,ALM,,MAURITI,1,99,2,98,0,1514,1514,01514040,01514040,103,R ALM MAURITI,0,710.700000000,710.700000000,SEE00366,6,6,6,0.47
96,214370,96.2600000000,0,SAO PAULO,SE,CENTRO,,VD,,,GOVERNADOR ROBERTO DE ABREU SODRE,0,0,0,0,0,0,0,,,96,VD GOVERNADOR ROBERTO DE ABREU SODRE,0,840.590000000,840.590000000,SEE00410,3,3,3,0.67
97,214371,100.770000000,0,SAO PAULO,SE,CENTRO,,PC,,,JOSE LUIZ DE MELLO MALHEIROS,1,85,2,84,0,1517,1517,01517080,01517080,100,PC JOSE LUIZ DE MELLO MALHEIROS,0,812.920000000,812.920000000,SEE00399,8,8,8,0.32
98,214372,29.0800000000,0,SAO PAULO,SE,,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,29,R SEM NOME,1,812.920000000,812.920000000,SEE00400,8,8,8,0.32
99,214373,70.7900000000,0,SAO PAULO,SE,CENTRO,,R,,,OSCAR CINTRA GORDINHO,129,213,130,214,0,1512,1512,01512010,01512010,70,R OSCAR CINTRA GORDINHO,0,583.240000000,583.240000000,SEE00266,4,4,4,0.50
100,214374,48.8100000000,0,SAO PAULO,SE,CENTRO,,R,,,HELENA ZERRENER,1,61,2,60,0,1512,1512,01512020,01512020,48,R HELENA ZERRENER,0,626.750000000,626.750000000,SEE00296,4,4,4,0.50
101,214375,130.690000000,0,SAO PAULO,SE,CENTRO,,R,,,GLICERIO,43,165,44,166,0,1514,1514,01514000,01514000,130,R GLICERIO,0,701.970000000,701.970000000,SEE00355,4,4,4,0.33
102,214376,166.380000000,0,SAO PAULO,SE,CENTRO,,R,,,TABATINGUERA,387,549,386,550,0,1020,1020,01020001,01020000,166,R TABATINGUERA,1,527.370000000,527.370000000,SEE00235,5,5,5,0.40
103,214377,102.310000000,0,SAO PAULO,SE,CENTRO,,R,,,OSCAR CINTRA GORDINHO,215,307,216,308,0,1512,1512,01512010,01512010,102,R OSCAR CINTRA GORDINHO,0,626.750000000,626.750000000,SEE00297,4,4,4,0.33
104,214378,99.6000000000,0,SAO PAULO,SE,CENTRO,,EX,,,LESTE OESTE,0,0,0,0,0,0,0,,,99,EX LESTE OESTE,0,816.630000000,816.630000000,SEE00402,5,5,5,0.20
105,214379,207.700000000,0,SAO PAULO,SE,CENTRO,,AV,PTO,,PASSOS,1,191,2,192,0,1517,1517,01517020,01517020,207,AV PTO PASSOS,1,703.340000000,703.340000000,SEE00357,7,7,7,0.43
106,214380,48.7700000000,0,SAO PAULO,SE,CENTRO,,R,,,GLICERIO,1,41,2,42,0,1514,1514,01514000,01514000,48,R GLICERIO,0,702.140000000,702.140000000,SEE00356,5,5,5,0.40
107,214381,15.4800000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,41,53,40,52,0,1022,1022,01022050,01022050,15,PQ DM PEDRO II,1,664.320000000,664.320000000,SEE00329,5,5,5,0.40
108,214382,41.5400000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,55,107,54,108,0,1022,1022,01022050,01022050,41,PQ DM PEDRO II,1,675.370000000,675.370000000,SEE00337,6,6,6,0.40
109,214383,22.3300000000,0,SAO PAULO,SE,,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,22,R SEM NOME,1,675.370000000,675.370000000,SEE00338,5,5,5,0.40
110,214384,12.4600000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,147,159,146,158,0,1022,1022,01022050,01022050,12,PQ DM PEDRO II,1,697.360000000,697.360000000,SEE00352,4,4,4,0.33
111,214385,60.6000000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,109,125,110,126,0,1022,1022,01022050,01022050,60,PQ DM PEDRO II,0,703.340000000,703.340000000,SEE00358,5,5,5,0.40
112,214386,77.1300000000,0,SAO PAULO,SE,CENTRO,,PQ,DM,,PEDRO II,127,145,128,144,0,1022,1022,01022050,01022050,77,PQ DM PEDRO II,1,706.200000000,706.200000000,SEE00361,4,4,4,0.33
113,214387,19.1400000000,0,SAO PAULO,SE,CENTRO,,,,,SEM NOME,0,0,0,0,0,0,0,,,19,SEM NOME,1,753.730000000,753.730000000,SEE00380,3,3,3,0.33
114,214389,198.180000000,0,SAO PAULO,SE,CENTRO,,,,,SEM NOME,0,0,0,0,0,0,0,,,198,SEM NOME,1,840.990000000,840.990000000,SEE00412,4,4,4,0.50
115,214392,1057.82000000,0,SAO PAULO,SE,CENTRO,,EX,,,LESTE OESTE,0,0,0,0,0,0,0,,,1057,EX LESTE OESTE,0,793.090000000,793.090000000,SEE00392,12,12,12,0.05
116,214394,163.350000000,0,SAO PAULO,SE,CENTRO,,VD,,,TRINTA E UM DE MARCO,163,331,162,330,0,1517,1517,01517100,01517100,163,VD TRINTA E UM DE MARCO,1,769.000000000,769.000000000,SEE00387,7,7,7,0.14
117,214395,67.7800000000,0,SAO PAULO,SE,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,67,AC SEM NOME,1,830.240000000,830.240000000,SEE00406,4,4,4,0.33
118,214396,74.3800000000,0,SAO PAULO,SE,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,,,74,AC SEM NOME,0,830.240000000,830.240000000,SEE00407,5,5,5,0.30
