u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,from,to,grade,grade_abs,flood_count,flood_any,flood_duration_h,Mean Shortest Path Length,Closeness,Eigenvector,bet,Degree,Subgraph Centrality,Pagerank,junction,ref,bridge,tunnel,access,width,elevation,highway_code
587976,163215426,0,"[16148297, 976786739]",True,3.0,Avenida Santos Dumont,primary,50.0,False,174.24900000000002,"LINESTRING (-46.6290079 -23.5135798, -46.6290923 -23.5134245, -46.6291161 -23.5133564, -46.6291215 -23.5133251, -46.6291282 -23.5131775, -46.6291161 -23.5130226, -46.6290738 -23.5127477, -46.6290142 -23.5123777, -46.6289853 -23.5121986, -46.6289595 -23.5120458)",587976,163215426,-0.046,0.046,0,False,0.0,33.10534771631857,0.030203133666112037,1.5090356391388245e-17,0.0017194136933393917,4,6.470376571659586,0.00010799757202765849,,,,,,,722.0,4
587976,1709028277,0,320124173,True,2.0,Praça Campo de Bagatelle,trunk,50.0,False,65.25399999999999,"LINESTRING (-46.6290079 -23.5135798, -46.6291269 -23.5135367, -46.6292508 -23.5135072, -46.6293777 -23.5134917, -46.6295057 -23.5134906, -46.6296329 -23.5135037)",587976,1709028277,-0.061,0.061,0,False,0.0,33.10672481064953,0.030201877348418674,1.7485907941972726e-17,0.0004762334635562735,4,5.890382829291842,0.00011443030424879025,circular,,,,,,724.0,11
587976,5268148599,0,842291572,True,3.0,Praça Campo de Bagatelle,trunk,50.0,False,123.94800000000001,"LINESTRING (-46.6284036 -23.5144769, -46.6284134 -23.5143179, -46.6284516 -23.5141626, -46.6285172 -23.5140151, -46.6286084 -23.5138796, -46.6287228 -23.5137598, -46.6288572 -23.513659, -46.6290079 -23.5135798)",5268148599,587976,0.016,0.016,0,False,0.0,32.13220105577232,0.03111785714285714,4.378119131368506e-17,0.002358063856958479,4,5.990324547762837,0.00011118760529183162,circular,,,,,,727.0,11
587983,5268148599,0,8213217,True,3.0,Praça Campo de Bagatelle,trunk,50.0,False,146.732,"LINESTRING (-46.6292745 -23.5153989, -46.6291586 -23.5153696, -46.6290411 -23.5153349, -46.6289482 -23.5152945, -46.6288586 -23.5152407, -46.6288203 -23.5152198, -46.6287701 -23.5151817, -46.628647 -23.5150674, -46.6285464 -23.514936, -46.628471 -23.514791, -46.628423 -23.5146365, -46.6284036 -23.5144769)",587983,5268148599,0.041,0.041,0,False,0.0,31.16226761533165,0.03208640829613917,2.002850090299371e-16,0.013687195256223675,4,6.049413123776112,0.00011035694097032951,circular,,,,,,725.0,11
587983,148523925,0,933373474,True,2.0,Praça Campo de Bagatelle,trunk,50.0,False,57.69,"LINESTRING (-46.6298311 -23.5153478, -46.6296961 -23.5153864, -46.6295566 -23.515408, -46.6294152 -23.5154122, -46.6292745 -23.5153989)",148523925,587983,0.0,0.0,0,False,0.0,31.138283222400734,0.03211112298637498,2.4019492634072656e-16,2.001880256588169e-05,4,6.536289796477328,0.00010950262628295702,circular,,,,,,722.0,11
587983,8003522033,0,15964549,True,4.0,Avenida Santos Dumont,trunk,50.0,False,100.91300000000001,"LINESTRING (-46.6296031 -23.51622, -46.6295546 -23.5158989, -46.6295291 -23.5157464, -46.62951 -23.5156821, -46.6294594 -23.5155721, -46.629387 -23.5154914, -46.6292745 -23.5153989)",8003522033,587983,0.139,0.139,0,False,0.0,30.195776910718383,0.0331134133456975,9.076052556488133e-16,0.014009006950301621,4,6.533969817699692,0.00010945582603246212,,,,,,,729.0,11
587993,459347433,0,"[780219126, 38738766]",True,3.0,,trunk_link,40.0,False,152.679,"LINESTRING (-46.6382561 -23.55821, -46.6381514 -23.5581341, -46.6380828 -23.5580823, -46.6380256 -23.5580119, -46.6379741 -23.5579463, -46.6379195 -23.5578317, -46.6378761 -23.5577234, -46.6375881 -23.5570105)",587993,459347433,-0.065,0.065,0,False,0.0,19.331994491622677,0.05172178393555702,3.3314703241741223e-08,0.0010818966694881847,4,6.013670313250192,0.00011300502473569829,,,,,,,763.0,12
587993,176011687,0,"[252274186, 524259148, 524259149]",True,5.0,Avenida Vinte e Três de Maio,trunk,60.0,False,298.798,"LINESTRING (-46.6382561 -23.55821, -46.6379244 -23.5573847, -46.6375529 -23.5564604, -46.6373262 -23.5558954, -46.6372986 -23.5558267, -46.6372329 -23.5556922)",587993,176011687,-0.023,0.023,0,False,0.0,19.344503098462244,0.05168833942385269,1.5306482950351412e-07,0.007397010500302611,4,5.955159034866478,0.00011379762989155381,,,,,,,764.5,11
587993,25929414,0,524487872,True,5.0,Avenida Vinte e Três de Maio,trunk,60.0,False,99.942,"LINESTRING (-46.6385968 -23.5590528, -46.6385731 -23.5589942, -46.6382561 -23.55821)",25929414,587993,-0.01,0.01,0,False,0.0,19.650562313518478,0.05088328904721581,3.1681009857729594e-08,0.008164775645250703,4,5.972215200362259,0.00011246742750530754,,,,,,,767.5,11
597269,8743354162,0,858472816,True,3.0,Avenida Teresa Cristina,secondary,50.0,False,8.333,"LINESTRING (-46.608044 -23.5689779, -46.6080255 -23.5689049)",597269,8743354162,0.0,0.0,0,False,0.0,28.30709203580445,0.035322782039016,9.33036278869469e-15,0.0070767096592485035,5,12.340844900248825,0.0001220866407453696,,SP-160,,,,,726.0,7
