Node,ms,mean_comm,vuln,betw,all_degree,in_degree,out_degree,e_mean,vuln_efi
642,3.782608695652174,68.97093334912621,0.004678480916711472,39.51309523809524,6,1,5,0.01342330661637592,0.0018907340387626943
643,3.911764705882353,26.76508906114326,0.0029489991534035268,98.0,5,3,2,0.008700691497721203,0.0021624004862746357
644,2.789473684210526,32.08454982588134,0.004437265384821846,124.34246031746032,6,3,3,0.006724422442244223,0.001713113352833846
645,3.967741935483871,22.73014400397403,0.002032786611164453,151.33333333333334,4,2,2,0.00774300644350149,0.0033811668889355607
646,3.6666666666666665,29.015827630602168,0.002409611164783775,159.0,4,2,2,0.008128044947351873,0.003096958449564715
647,3.3793103448275863,44.78721572244053,0.003744937289667077,186.0,5,2,3,0.008898121955052645,0.0038441850104046368
648,2.210526315789474,47.575494416384316,0.002491827825994015,22.5,5,1,4,0.00783828382838284,0.0010919587407407952
649,2.892857142857143,49.20220861528557,0.0032015774783684405,38.49999999999999,6,1,5,0.010142621404997642,0.0016183772063775134
650,2.3333333333333335,54.83933522661755,0.0018810640564228965,0.0,6,0,6,0.009240924092409241,0.0010825234808104214
651,3.2777777777777777,17.439644014816775,0.0021956239101156073,61.83333333333333,5,3,2,0.005398396982555399,0.0008828104789472675
652,2.2222222222222223,35.11920756940269,0.0030197506602721545,70.18015873015874,6,1,5,0.007865786578657866,0.001200464229941943
653,3.0588235294117645,13.79275801237236,0.002589053428760042,59.66666666666664,6,4,2,0.005280528052805281,0.0013476312720288649
654,2.769230769230769,14.408730213326635,0.002693741463565775,103.33333333333331,6,4,2,0.0044279427942794285,0.001785181862628769
655,2.25,15.719444481888786,0.0024679681164047063,93.0,6,3,3,0.004909240924092409,0.0016257029569737343
656,4.333333333333333,24.900335283827353,0.0020154193224285913,22.0,5,2,3,0.006975876159044477,0.0009345509897044938
657,3.923076923076923,20.366806020252433,0.0021352262607645255,51.4,5,3,2,0.0066713814238566725,0.0009498161663399524
658,3.84,16.582618723152148,0.0016795622019373504,14.399999999999999,4,2,2,0.006575121797894077,0.0009184420093354727
659,2.625,6.859722248394974,0.0010205812086397483,28.2,5,4,1,0.0025027502750275027,0.0010245311514812058
660,3.3684210526315788,22.936068724075156,0.002257762706401255,89.8,4,2,2,0.0055418041804180425,0.0023074963737425777
661,3.5,15.04966716925441,0.0015063509215388065,7.0,4,3,1,0.004716721672167219,0.0006330829285096787
662,2.7058823529411766,29.5209877417279,0.003192638364964929,115.8,5,2,3,0.006105610561056105,0.002898695953292678
663,2.125,34.58477191214115,0.00319032033106643,95.99999999999999,6,2,4,0.006875687568756875,0.0025712233952160206
664,1.5714285714285714,46.727976275855326,0.001602833372043425,0.0,6,0,6,0.007563256325632564,0.0008859939203062683
665,2.0,8.800000024028122,0.0012569271427547678,39.2,5,3,2,0.0028190319031903195,0.0014095357823047546
666,1.5,8.541666682809591,0.0009345062162632471,24.2,4,2,2,0.0027502750275027505,0.0009455971476721394
667,6.794520547945205,40.902486471579316,0.005232605761732784,360.56666666666666,6,3,3,0.013170403578819418,0.004250480263152218
668,7.552941176470588,31.398117524185828,0.0020425780305168956,348.66666666666674,4,1,3,0.01370126710473244,0.0023924859970038703
669,7.368421052631579,26.74659817396946,0.002862046309553234,231.81666666666686,5,3,2,0.009371095076540624,0.0016991742301275161
670,7.418181818181818,23.241841803730978,0.0021520235276046304,320.85,4,2,2,0.009109818948927862,0.0015384540264177424
