id,length,dir,municipio,distrito,bairro,nomesigla,tipo,nometit,nomeprep,name,start_left,end_left,start_righ,end_right,parity,left_zip,right_zip,cep_e,cep_d,extensao_m,nome_caps,onibus_msp,dist_cen_m,dist_cen_d,cdlog_cem,flood,Node,ms,mean_comm,vuln,betw,all_degree,in_degree,out_degree,e_mean,vuln_efi
8961,79.82,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,REGO FREITAS,191,269,192,270,0,1220,1220,1220010.0,1220010.0,79,R REGO FREITAS,1,1406.62,500.73,REP00212,0,1,7.791411042944786,94.86829839706078,0.003254112134497,0.0,6,0,6,0.0272055551412715,0.0031869812969358
8962,115.42,0,SAO PAULO,REPUBLICA,CENTRO,,R,GAL,,JARDIM,215,319,216,320,0,1223,1223,1223011.0,1223010.0,115,R GAL JARDIM,0,1436.66,500.73,REP00213,0,2,8.205479452054794,74.81288149099774,0.0035177931416529,16.0,6,1,5,0.0226842994442732,0.0030532767598717
8963,98.29,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,REGO FREITAS,271,365,272,366,0,1220,1220,1220010.0,1220010.0,98,R REGO FREITAS,1,1436.66,483.61,REP00194,0,3,7.937007874015748,60.768150051125495,0.0038791384945876,198.08333333333337,6,2,4,0.0197803995143103,0.0027318524926719
8964,108.56,0,SAO PAULO,REPUBLICA,CENTRO,,R,MJ,,SERTORIO,159,263,158,264,0,1222,1222,1222001.0,1222000.0,108,R MJ SERTORIO,1,1306.57,431.33,REP00158,0,4,9.1875,57.79378625005248,0.0027929128259654,15.0,6,1,5,0.018960818323806,0.002665073154897
8965,72.13,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,BENTO FREITAS,1,63,2,64,0,1220,1220,1220000.0,1220000.0,72,R BENTO FREITAS,0,1279.85,431.33,REP00157,0,5,9.32,48.3417172407145,0.0025442528912603,16.0,5,1,4,0.0177644486868423,0.0024991506570941
8966,78.85,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,BENTO FREITAS,65,147,66,148,0,1220,1220,1220000.0,1220000.0,78,R BENTO FREITAS,0,1306.57,396.83,REP00128,0,6,8.89655172413793,37.675735955254765,0.0028541336520629,219.00000000000003,6,2,4,0.0166308369551671,0.0044606666818501
8967,109.1,0,SAO PAULO,REPUBLICA,CENTRO,,R,GAL,,JARDIM,105,213,106,214,0,1223,1223,1223011.0,1223010.0,109,R GAL JARDIM,0,1338.09,396.83,REP00129,0,7,9.28181818181818,16.126696631962734,0.0020645771190789,52.91666666666667,6,4,2,0.013468020673539,0.0016953001751245
8968,108.29,0,SAO PAULO,REPUBLICA,CENTRO,,R,MQ,DE,ITU,111,215,110,216,0,1223,1223,1223001.0,1223000.0,108,R MQ DE ITU,1,1384.84,375.87,REP00108,0,8,7.672,59.39540511282121,0.0034133820647041,88.68333333333334,6,1,5,0.0206757866720737,0.0025428721530172
8969,98.16,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,BENTO FREITAS,149,241,150,242,0,1220,1220,1220000.0,1220000.0,98,R BENTO FREITAS,0,1338.09,375.87,REP00107,0,9,8.385321100917432,24.140057781808054,0.003138371804301,469.9166666666667,6,3,3,0.0154928279000061,0.0068222962158406
211815,127.77,0,SAO PAULO,REPUBLICA,CENTRO,,R,CAP,,SALOMAO,1,125,2,126,0,1034,1034,1034020.0,1034020.0,127,R CAP SALOMAO,1,865.81,439.78,REP00161,0,10,6.6310160427807485,147.27540049777178,0.0050517472745942,0.0,7,0,7,0.0330362232517154,0.0038700120279805
211816,106.03,0,SAO PAULO,REPUBLICA,CENTRO,,PC,,,PEDRO LESSA,1,149,2,150,0,1032,1032,1032030.0,1032030.0,106,PC PEDRO LESSA,0,759.64,567.1,REP00274,0,11,6.795580110497237,101.20904507632974,0.0046455619440926,2.0,6,1,5,0.0298046500943997,0.0035719958911501
211817,77.87,0,SAO PAULO,REPUBLICA,CENTRO,,AC,,,SEM NOME,0,0,0,0,0,0,0,1032030.0,,77,AC SEM NOME,1,795.67,567.1,REP00275,0,12,6.393258426966292,100.81975731324516,0.0061659861205334,91.93333333333334,7,2,5,0.0315664334155889,0.0040296792204195
211818,40.25,0,SAO PAULO,REPUBLICA,CENTRO,,AC,,,TERMINAL SANTA EFIGENIA,0,0,0,0,0,0,0,,,40,AC TERMINAL SANTA EFIGENIA,1,865.81,567.1,REP00276,0,13,7.011560693641618,60.16128964988592,0.0048382082675512,5.0,6,3,3,0.0261192815575459,0.0032047111387326
211819,45.34,0,SAO PAULO,REPUBLICA,CENTRO,,LG,,,SANTA EFIGENIA,1,39,0,0,0,0,0,,,45,,1,968.76,561.24,REP00267,0,14,6.488888888888889,61.42152784982115,0.0021068422483868,0.0,5,0,5,0.0295562271428608,0.0034623496055545
211820,103.18,0,SAO PAULO,REPUBLICA,CENTRO,,R,,DO,SEMINARIO,1,103,2,104,0,1034,1034,1034040.0,1034040.0,103,R DO SEMINARIO,1,865.81,566.91,REP00273,0,15,6.824561403508772,43.00253568446521,0.0050205196194403,99.3095238095238,7,5,2,0.0255730518106755,0.0033404746818635
211821,113.36,0,SAO PAULO,REPUBLICA,CENTRO,,R,BRG,,TOBIAS,1,147,2,148,0,1032,1032,1032000.0,1032000.0,113,R BRG TOBIAS,1,865.81,567.1,REP00277,0,16,6.165680473372781,54.2936616621646,0.0080786172668368,431.5261904761905,8,5,3,0.0294823415491732,0.0043671502106022
