,rate_ratio_poisson,p_poisson,rate_ratio_NB(a=1),p_NB
elevation,0.31589768602409135,1.558661396716358e-08,0.28886790779581856,1.3651792269815486e-11
grade_abs,1.0538432614383362,0.7803963671726412,1.0640966648975507,0.7278718235118067
lanes,1.5290971746479078,0.009284334554732005,1.5479154080260467,0.009164103332837709
hw_primary,15.146315031832406,0.0009866339285776698,13.60792640701658,0.0016889874344479647
hw_residential,7.036203076922691,0.016434145296297234,6.789852652827983,0.020590533625060636
hw_secondary,8.987941866787642,0.006064320379609151,8.49955950843918,0.008983503950392146
hw_tertiary,8.799540145054888,0.011279972722499304,8.379593674393004,0.016479536263608142
hw_trunk,8.853145409971122,0.015041209437143589,10.27314230000871,0.007608776641957447
Degree,2.578647185703556,0.05085418435065143,3.1267994629551157,0.025823342645800346
Mean_Shortest_Path_Length,0.4939733080986884,0.45350940369857295,0.7103504754272344,0.6663201023797329
Closeness,0.8480226144751756,0.847188351210024,1.2272353436380004,0.7789852810628659
bet,0.9623239878525499,0.660305786444443,0.960044529870403,0.6268776731907186
Eigenvector,0.806061908074959,0.2615244295890443,0.8084685999538763,0.24579782298072594
Subgraph_Centrality,0.6909048839593486,0.15750246903663367,0.651904444678571,0.127836137150987
Pagerank,0.6678351146516367,0.15042521240627768,0.6267793734812341,0.09957080852205015
