district,buffer_m,shared_edges,min_metric_corr,corr_Degree,corr_Mean Shortest Path Length,corr_Closeness,corr_bet,corr_Eigenvector,corr_Pagerank,r_closeness_b,r_closeness_ref,effect_shift
SE,0,463,0.047750147744561974,0.8087511063252039,0.2540837295093003,0.2540837295093003,0.6917874675088241,0.047750147744561974,0.8212407968703782,0.18832823649337405,0.3378649237472766,0.14953668725390257
SE,250,483,0.01633233019256341,0.9966497613373394,0.845239419493308,0.845239419493308,0.9248264310963156,0.01633233019256341,0.9776366832177094,0.36524017467248915,0.3378649237472766,0.027375250925212535
SE,500,484,0.01696911132549452,0.9988686761417989,0.9480541686181143,0.9480541686181143,0.9810428647090441,0.01696911132549452,0.9958906825889927,0.3627015250544663,0.3378649237472766,0.024836601307189676
VILA MATILDE,0,2018,-0.3324718778750814,0.9410727654838336,0.5412518987332866,0.5412518987332866,0.8399000764108419,-0.3324718778750814,0.9383786694622963,-0.2197887284995299,0.6583618303207948,0.8781505588203247
VILA MATILDE,250,2055,-0.4267390416437463,0.9971081274628166,0.8481703596082286,0.8481703596082286,0.9692792018078586,-0.4267390416437463,0.9941798025095054,0.33224720321494505,0.6583618303207948,0.3261146271058497
VILA MATILDE,500,2056,0.9473757898462114,0.9996426578091896,0.9473757898462114,0.9473757898462114,0.9846612317499948,0.9956122915881169,0.9981686343117735,0.5131086142322097,0.6583618303207948,0.1452532160885851
CIDADE ADEMAR,0,2569,0.8590817949460645,0.8855417527522206,0.9653974697811967,0.9653974697811967,0.8590817949460645,0.9734722637070734,0.8884522779781318,,,
CIDADE ADEMAR,250,2639,0.9657992797803362,0.9985877167842605,0.9921202156975586,0.9921202156975586,0.9657992797803362,0.9720985610295696,0.995155099399445,,,
CIDADE ADEMAR,500,2639,0.979410539396553,1.0,0.9970138549195368,0.9970138549195368,0.9896737096052158,0.979410539396553,0.9994367175580751,,,
