metric,spearman_vs_duration_h,p,p_BH
Degree,0.0369738219790682,0.0005561438436912764,0.0008342157655369146
Mean shortest path length,-0.0615236151827753,9.042417982815104e-09,2.0345440461333986e-08
Closeness,0.0615236151827753,9.042417982815104e-09,2.0345440461333986e-08
Betweenness,0.05712066815471516,9.51567850382672e-08,1.7128221306888095e-07
Subgraph centrality,0.02498458990760457,0.019684328127526556,0.023773393243131654
PageRank,0.015057350425561172,0.15988342267451922,0.15988342267451922
Vulnerability,0.07394011190726595,4.822959175469006e-12,2.170331628961053e-11
Elevation (m),-0.09277213286947586,4.040502207057636e-18,3.6364519863518725e-17
Absolute grade,-0.024698746191011513,0.021131905105005913,0.023773393243131654
