scenario,efficiency,eff_drop_%,giant_component
intact network,0.04154220821102631,0.0,1.0
remove 137 flooded edges,0.03963190193288584,4.5984707130552245,0.9996452013482349
remove 137 random edges (mean of 100),0.040800811198322934,1.784683685896582,0.9983750221749158
remove top-137 betweenness edges,0.04069976068521217,2.027931499295055,0.9985808053929395
