centrality,odds_ratio_per_SD,CI95_low,CI95_high,p,elevation_OR,p_elevation,p_BH
Degree,1.4380228705268578,1.187982627650458,1.7406902491900316,0.00019340808778624328,0.4160225373545725,1.3214491252921577e-09,0.00045128553816790103
Mean_Shortest_Path_Length,0.5926201063261743,0.476732632147835,0.7366783113624564,2.4454639147733465e-06,0.3777346632930569,3.5025750861887857e-10,8.559123701706714e-06
Closeness,1.6067210463054935,1.3387801472159315,1.9282871246705469,3.498379490923741e-07,0.3685221842488334,2.0525506145546116e-10,2.448865643646619e-06
bet,1.0867250454847281,0.941998127976682,1.2536875492740023,0.2540589740915301,0.41770167595055424,1.7592342748758024e-09,0.2964021364401185
Eigenvector,0.9306981754863732,0.6222891723680253,1.3919559142536215,0.726563275229942,0.42535608942491915,2.245640818287821e-09,0.726563275229942
Subgraph_Centrality,1.243514432109963,1.0827899029792045,1.4280961972504296,0.002026062063785782,0.41469221923385957,1.3007467138840108e-09,0.003545608611625119
Pagerank,1.19048193364346,0.9743527607609151,1.4545524900290532,0.08804930690186774,0.42641686378285987,2.4068366301984125e-09,0.12326902966261484
