,coef,se,p,CI_low,CI_high
const,0.34322235327281436,0.04500161664749057,6.04209698259037e-09,0.25186421453266117,0.43458049201296756
elev_std,-0.0018947596060504487,0.12274176255477658,0.987771240593157,-0.2510737848959234,0.24728426568382253
elev_mean,0.021123664861386837,0.11082964761729337,0.8499435333775266,-0.20387248145167217,0.24611981117444584
orientation_entropy,-3.1709760509333884e-05,0.05766838555377751,0.999564394328238,-0.1171047564826306,0.11704133696161192
circuity,0.003543027075375363,0.09134310291493405,0.969279725549631,-0.18189333034321925,0.18897938449397
dist_river,0.01639139798311228,0.07771745864065378,0.8341806013944905,-0.14138343096674708,0.17416622693297165
log_edges,0.019168748536192076,0.045460778457633653,0.6758557021258194,-0.0731215382350824,0.11145903530746655
